Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Founded Year,Total Raised ($B),Financial Stage,Investors Count
Mind Group44,1.39,2020-03-05,Indonesia,Jakarta,Fintech,"Greylock Partners, General Atlantic, Khosla Ventures",2013,0.465,Series D,15
Meta AI98,2.61,2020-03-03,Canada,Montreal,"Supply chain, logistics, & delivery",DST Global,2015,1.209,Series D,7
HealthCore35,2.89,2020-02-29,China,Shanghai,Fintech,Tencent Holdings,2016,0.479,Series C,15
Payify85,2.77,2020-02-17,South Korea,Seoul,Other,"Tiger Global Management, Accel, Lightspeed Venture Partners",2014,0.761,Series F,10
Flow Labs44,126.65,2020-02-11,United States,Palo Alto,Data management & analytics,"Index Ventures, Thrive Capital, Khosla Ventures",2008,46.73,Series C,15
Space Hub41,5.1,2020-02-10,Singapore,Singapore,Cybersecurity,"SoftBank Group, Khosla Ventures, Accel, Andreessen Horowitz",2014,2.17,Private Equity,19
NexFlow,7.05,2020-02-09,Canada,Toronto,Internet software & services,"Alibaba Group, Khosla Ventures, Tiger Global Management, New Enterprise Associates",2017,3.341,Series C,6
Grid Solutions,1.95,2020-02-09,United States,Palo Alto,Edtech,"Andreessen Horowitz, Tencent Holdings",2014,0.521,Series B,10
DataStream10,2.56,2020-02-08,India,Gurugram,Internet software & services,Lightspeed Venture Partners,2013,0.423,Private Equity,4
Grid Hub98,5.42,2020-02-05,China,Beijing,Artificial intelligence,"Bessemer Venture Partners, Tiger Global Management, New Enterprise Associates, DST Global",2015,1.128,Series C,5
Nova Systems,2.58,2020-02-03,United States,Boston,Health,"Tiger Global Management, Greylock Partners",2009,0.763,Series E,8
Health Labs,1.33,2020-02-01,Singapore,Singapore,Internet software & services,Sequoia Capital,2011,0.628,Series D,5
Link Dynamics42,1.74,2020-01-31,China,Shanghai,Health,"Index Ventures, Kleiner Perkins Caufield & Byers",2014,0.733,Series E,13
Pay AI,1.62,2020-01-30,India,New Delhi,Health,"Benchmark, Khosla Ventures, Andreessen Horowitz",2012,0.214,Series E,7
Gridly,12.81,2020-01-29,Singapore,Singapore,Internet software & services,"Alibaba Group, Founders Fund",2015,4.541,Private Equity,4
OmniLink19,2.99,2020-01-28,Australia,Sydney,Cybersecurity,"Alibaba Group, Founders Fund, DST Global, Greylock Partners",2010,1.128,Series D,17
Omni Technologies,1.13,2020-01-26,United States,San Francisco,Internet software & services,"Tiger Global Management, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners",2013,0.415,Series C,9
Smart Dynamics,9.78,2020-01-26,United States,Palo Alto,Health,"Greylock Partners, DST Global",2010,1.814,Series E,14
Meta Technologies41,2.07,2020-01-20,United States,Austin,Health,"Andreessen Horowitz, SoftBank Group, Index Ventures",2015,0.783,Series D,15
BioGrid,3.08,2020-01-18,United States,Chicago,Data management & analytics,"Andreessen Horowitz, Thrive Capital",2016,0.881,Series D,7
CloudSpace6,1.52,2020-01-12,United States,Los Angeles,Artificial intelligence,"Benchmark, Tencent Holdings, Tiger Global Management",2012,0.584,Series E,16
Space AI26,1.88,2020-01-04,United States,Seattle,Cybersecurity,"Insight Partners, Accel",2011,0.8,Series C,8
PayVertex,2.41,2020-01-04,China,Shanghai,Data management & analytics,"Coatue Management, Benchmark, Khosla Ventures",2017,1.07,Series D,5
Pulse Labs56,2.7,2019-12-23,South Korea,Seoul,Consumer & retail,Alibaba Group,2015,0.342,Series B,11
Flow Networks,2.38,2019-12-22,United States,Chicago,Edtech,"Alibaba Group, SoftBank Group, Tencent Holdings, Greylock Partners",2007,0.479,Private Equity,17
Shift Base66,3.61,2019-12-22,United States,Los Angeles,Fintech,"Tiger Global Management, Thrive Capital",2010,1.542,Series C,16
Cyber Solutions,1.9,2019-12-20,United States,Palo Alto,Cybersecurity,"Insight Partners, Tiger Global Management, General Atlantic, Greylock Partners",2014,0.712,Series E,7
HealthCore51,3.13,2019-12-14,United States,Chicago,Auto & transportation,"Coatue Management, Index Ventures, Lightspeed Venture Partners",2008,0.658,Series C,4
Payify,1.68,2019-12-11,France,Paris,Fintech,"Accel, Alibaba Group",2007,0.679,Private Equity,15
Pulse AI73,2.93,2019-12-08,China,Beijing,Data management & analytics,"Accel, Tencent Holdings, Y Combinator",2007,1.359,Private Equity,9
Waveify79,9.38,2019-12-07,United States,Austin,Artificial intelligence,"Tiger Global Management, Insight Partners, Thrive Capital, Y Combinator",2009,1.287,Series D,7
Meta Group,2.88,2019-12-06,United States,Austin,Fintech,"Google Ventures, Founders Fund",2008,0.471,Series D,9
Aeroly,1.75,2019-12-05,Brazil,Curitiba,Fintech,"Tencent Holdings, Google Ventures",2013,0.624,Series D,9
Space Technologies,9.04,2019-11-24,Israel,Jerusalem,E-commerce & direct-to-consumer,"Greylock Partners, Tencent Holdings",2007,4.22,Series C,12
Health Group,1.52,2019-11-20,Israel,Tel Aviv,Internet software & services,"New Enterprise Associates, Khosla Ventures",2016,0.557,Series B,13
Data Dynamics,1.67,2019-11-15,China,Shanghai,E-commerce & direct-to-consumer,"Alibaba Group, Bessemer Venture Partners, Thrive Capital, Khosla Ventures",2016,0.171,Series D,16
Wavely4,2.68,2019-11-08,United Kingdom,Oxford,E-commerce & direct-to-consumer,"Tiger Global Management, Bessemer Venture Partners, Google Ventures",2010,0.442,Series E,5
Grid Technologies88,1.48,2019-11-07,United Kingdom,London,Artificial intelligence,"Index Ventures, Bessemer Venture Partners, Founders Fund, Benchmark",2008,0.226,Series F,8
Wave Base28,1.88,2019-11-05,United States,Seattle,Health,Tiger Global Management,2013,0.309,Series D,16
Link AI,5.12,2019-11-05,United States,Palo Alto,Internet software & services,Insight Partners,2016,0.545,Private Equity,10
DataStream70,2.23,2019-11-02,China,Beijing,Health,"Coatue Management, Founders Fund",2007,0.773,Series F,7
CyberSpace66,1.29,2019-10-25,Indonesia,Jakarta,Health,"Kleiner Perkins Caufield & Byers, General Atlantic, Khosla Ventures",2015,0.269,Series E,12
PayForge59,2.42,2019-10-18,United States,Seattle,Hardware,"Insight Partners, Alibaba Group, Lightspeed Venture Partners",2010,0.601,Series F,18
PayPulse31,2.23,2019-10-12,United States,Chicago,Consumer & retail,"DST Global, Tencent Holdings, Benchmark, New Enterprise Associates",2011,0.423,Private Equity,13
BioBlock33,8.67,2019-10-10,India,Pune,Internet software & services,SoftBank Group,2012,2.838,Pre-IPO,11
Bioio,2.12,2019-10-08,United States,Seattle,Artificial intelligence,"Y Combinator, Google Ventures, Alibaba Group, Lightspeed Venture Partners",2014,0.644,Series C,6
FinStream,2.93,2019-10-08,United States,Palo Alto,Health,"Index Ventures, Benchmark, General Atlantic, SoftBank Group",2015,0.478,Series C,13
AeroSpace51,1.99,2019-09-23,United States,Boston,Other,"Tiger Global Management, Accel",2007,0.673,Series D,13
NexZenith18,1.29,2019-09-23,Israel,Jerusalem,Artificial intelligence,"Insight Partners, Lightspeed Venture Partners",2016,0.514,Pre-IPO,5
Vertex Hub37,2.7,2019-09-21,United States,Seattle,Fintech,"Tencent Holdings, Bessemer Venture Partners, Y Combinator",2009,0.831,Series D,18
Bio Labs82,1.72,2019-09-19,United States,San Francisco,E-commerce & direct-to-consumer,"SoftBank Group, Lightspeed Venture Partners",2010,0.395,Series D,7
Smart Solutions,2.59,2019-09-10,United States,New York,Other,"General Atlantic, New Enterprise Associates, Index Ventures, Sequoia Capital",2008,1.111,Series F,15
HealthPulse,19.31,2019-09-10,United States,San Francisco,Internet software & services,"Andreessen Horowitz, Index Ventures, Thrive Capital",2016,9.602,Series D,12
SmartZenith71,2.93,2019-09-06,India,Pune,Internet software & services,"Khosla Ventures, Tiger Global Management",2009,1.074,Series E,15
Linkify64,2.39,2019-08-27,China,Shanghai,Internet software & services,"Lightspeed Venture Partners, Benchmark",2013,0.378,Pre-IPO,11
Auto AI47,1.48,2019-08-24,Sweden,Stockholm,Internet software & services,"Greylock Partners, Founders Fund, Tiger Global Management, Coatue Management",2013,0.649,Series C,12
Streamly78,1.76,2019-08-18,China,Shanghai,Internet software & services,"Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Thrive Capital, Founders Fund",2014,0.505,Series D,15
Link AI1,49.61,2019-08-17,India,Bengaluru,Fintech,"DST Global, Tiger Global Management, Lightspeed Venture Partners",2009,23.121,Series E,8
Nex Base49,1.26,2019-08-09,Singapore,Singapore,Hardware,Tiger Global Management,2015,0.38,Series D,14
HealthPulse22,2.83,2019-08-08,United Kingdom,Cambridge,E-commerce & direct-to-consumer,Benchmark,2008,1.333,Series C,15
Pulse Solutions54,2.96,2019-07-25,United States,Seattle,E-commerce & direct-to-consumer,"Accel, Andreessen Horowitz, Khosla Ventures",2007,1.183,Series D,11
HealthZenith,2.5,2019-07-25,United States,San Francisco,Internet software & services,"Bessemer Venture Partners, Index Ventures, Alibaba Group",2015,0.828,Series E,9
Tech Group16,3.0,2019-07-21,Canada,Toronto,Hardware,"Tiger Global Management, Index Ventures",2011,1.125,Series D,9
Zenithio7,1.86,2019-07-19,Israel,Jerusalem,Artificial intelligence,"Tiger Global Management, Alibaba Group",2014,0.891,Series F,5
OmniForge41,2.95,2019-07-15,China,Shanghai,"Supply chain, logistics, & delivery",Bessemer Venture Partners,2007,0.518,Series D,10
Space Group81,1.84,2019-07-09,China,Beijing,"Supply chain, logistics, & delivery",Bessemer Venture Partners,2009,0.669,Series E,15
Streamly,6.72,2019-07-08,China,Shanghai,Internet software & services,"Kleiner Perkins Caufield & Byers, Thrive Capital",2013,2.204,Series E,7
BioFlow,1.38,2019-06-24,United States,New York,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Bessemer Venture Partners, Insight Partners",2010,0.643,Series D,14
MetaLink29,7.66,2019-06-21,United Kingdom,Oxford,"Supply chain, logistics, & delivery",Thrive Capital,2014,3.593,Private Equity,16
Flowly2,2.05,2019-06-18,China,Hangzhou,"Supply chain, logistics, & delivery","Lightspeed Venture Partners, Index Ventures, General Atlantic",2013,0.233,Series C,5
Blockify43,23.12,2019-06-16,China,Hangzhou,Hardware,"Y Combinator, Tencent Holdings, Insight Partners",2016,9.725,Series C,12
CloudFlow76,2.69,2019-06-08,United States,Chicago,Fintech,"Tiger Global Management, Coatue Management, Sequoia Capital, Insight Partners",2007,0.911,Series D,8
Pay Group22,3.45,2019-06-08,China,Beijing,Fintech,DST Global,2007,1.448,Private Equity,8
Auto Systems3,3.43,2019-05-28,China,Guangzhou,Cybersecurity,Thrive Capital,2011,0.474,Series D,1
SmartLink12,5.68,2019-05-20,India,New Delhi,"Supply chain, logistics, & delivery","Greylock Partners, Coatue Management, Tiger Global Management",2013,0.602,Series F,18
CloudBlock39,1.19,2019-05-16,Sweden,Stockholm,Internet software & services,"Accel, Thrive Capital",2007,0.462,Series E,12
Shift Networks81,1.53,2019-05-12,Brazil,Curitiba,Edtech,"Khosla Ventures, Y Combinator",2010,0.579,Pre-IPO,16
Pay Labs54,6.76,2019-05-10,China,Shanghai,Health,Index Ventures,2009,1.945,Series D,9
Metaify,2.74,2019-05-09,India,Pune,Health,DST Global,2015,0.772,Pre-IPO,6
Health Systems,1.58,2019-05-04,Brazil,Curitiba,Health,"Lightspeed Venture Partners, Accel, Index Ventures, General Atlantic",2007,0.634,Series C,11
Health Dynamics75,2.56,2019-05-01,Brazil,Curitiba,Fintech,Tencent Holdings,2010,1.104,Series C,3
Aero Group88,1.08,2019-04-24,United States,Chicago,Edtech,"Andreessen Horowitz, DST Global",2012,0.496,Series E,2
Smart Solutions98,1.13,2019-04-22,Brazil,Curitiba,Artificial intelligence,"Coatue Management, Sequoia Capital, New Enterprise Associates, Tencent Holdings",2015,0.216,Series D,18
NexSpace,17.16,2019-04-22,Brazil,Curitiba,Internet software & services,"Accel, Andreessen Horowitz, New Enterprise Associates",2009,7.965,Series C,18
NovaMind12,1.7,2019-04-18,China,Shenzhen,E-commerce & direct-to-consumer,"General Atlantic, DST Global, Accel",2014,0.319,Series D,9
CloudWave,1.76,2019-04-15,United States,Palo Alto,Artificial intelligence,"New Enterprise Associates, Coatue Management, Thrive Capital, Founders Fund",2012,0.713,Series D,19
Aeroify83,5.95,2019-04-13,United States,San Francisco,Artificial intelligence,"Lightspeed Venture Partners, Sequoia Capital, Coatue Management",2008,1.918,Series E,16
DataShift69,2.89,2019-04-13,France,Paris,Health,"Index Ventures, New Enterprise Associates, Y Combinator, General Atlantic",2015,1.169,Series C,16
HealthVertex,2.63,2019-04-08,Sweden,Stockholm,Auto & transportation,"Alibaba Group, Greylock Partners, Tiger Global Management, Bessemer Venture Partners",2012,1.194,Series D,14
MetaShift9,1.99,2019-04-03,China,Beijing,Artificial intelligence,"Tiger Global Management, Thrive Capital, Khosla Ventures, Benchmark",2016,0.977,Series D,6
Blockify,17.75,2019-03-30,Canada,Montreal,Health,"New Enterprise Associates, Andreessen Horowitz, Sequoia Capital",2012,3.217,Series C,17
Mind Base,1.9,2019-03-15,United States,Los Angeles,Internet software & services,"New Enterprise Associates, Kleiner Perkins Caufield & Byers, Khosla Ventures, Greylock Partners",2008,0.218,Series D,15
AeroSpace86,2.2,2019-03-14,United States,New York,Health,SoftBank Group,2013,0.537,Series C,14
FinGrid,6.83,2019-03-13,Indonesia,Jakarta,Fintech,"Khosla Ventures, Sequoia Capital, Andreessen Horowitz, Coatue Management",2014,2.405,Private Equity,8
Block Labs,8.23,2019-03-12,China,Beijing,Internet software & services,"Thrive Capital, DST Global",2008,3.361,Series D,14
OmniBlock25,1.82,2019-03-08,United States,Boston,Health,Index Ventures,2012,0.353,Series F,15
Block Hub3,1.1,2019-03-07,United States,Austin,Internet software & services,"Greylock Partners, Khosla Ventures",2010,0.352,Series E,5
AutoVertex83,8.64,2019-02-27,United States,Los Angeles,Artificial intelligence,"Sequoia Capital, Khosla Ventures",2010,2.102,Pre-IPO,6
Auto Labs91,2.83,2019-02-24,India,Mumbai,Cybersecurity,"Google Ventures, Index Ventures",2008,0.838,Series D,11
Novaify5,1.01,2019-02-23,United States,Chicago,"Supply chain, logistics, & delivery",Thrive Capital,2011,0.363,Series F,14
Data Group37,7.27,2019-02-22,China,Hangzhou,Fintech,"Coatue Management, Bessemer Venture Partners, Founders Fund, New Enterprise Associates",2010,2.11,Series B,4
Fin Group,2.14,2019-02-22,France,Paris,Consumer & retail,"Bessemer Venture Partners, Google Ventures",2011,0.737,Series D,6
AutoVertex11,2.24,2019-02-20,China,Beijing,E-commerce & direct-to-consumer,"Index Ventures, Lightspeed Venture Partners, Benchmark, Coatue Management",2014,0.342,Series C,9
Gridly43,2.98,2019-02-11,United Kingdom,Oxford,E-commerce & direct-to-consumer,"Tencent Holdings, Kleiner Perkins Caufield & Byers, Benchmark, General Atlantic",2013,1.262,Pre-IPO,14
Block Hub11,6.03,2019-02-04,United States,New York,Artificial intelligence,"Y Combinator, General Atlantic",2012,2.088,Series D,9
AutoSpace65,6.07,2019-01-31,United States,Palo Alto,Consumer & retail,"Thrive Capital, Kleiner Perkins Caufield & Byers, Alibaba Group",2014,1.182,Pre-IPO,15
Cloudify,1.97,2019-01-25,United Kingdom,London,Fintech,Y Combinator,2010,0.715,Series C,9
Blockly27,1.28,2019-01-22,Israel,Tel Aviv,"Supply chain, logistics, & delivery","Greylock Partners, Y Combinator, New Enterprise Associates",2015,0.302,Pre-IPO,18
BioLink,2.05,2019-01-19,Israel,Jerusalem,"Supply chain, logistics, & delivery","Insight Partners, Tencent Holdings, Alibaba Group, Bessemer Venture Partners",2012,0.357,Series E,11
NovaMind81,2.67,2019-01-09,China,Shenzhen,Travel,"Khosla Ventures, Tencent Holdings, Accel, Y Combinator",2008,0.356,Series E,4
SmartWave58,2.73,2019-01-07,Indonesia,Jakarta,Cybersecurity,"General Atlantic, Accel, DST Global, Lightspeed Venture Partners",2009,1.261,Pre-IPO,4
Omni AI73,1.02,2018-12-31,China,Guangzhou,Fintech,"Accel, Benchmark, Insight Partners, Tencent Holdings",2013,0.259,Series E,17
CyberStream,1.36,2018-12-30,United States,Austin,E-commerce & direct-to-consumer,"Sequoia Capital, New Enterprise Associates",2006,0.477,Series B,4
Bio Solutions46,1.86,2018-12-25,United States,Boston,E-commerce & direct-to-consumer,"Y Combinator, SoftBank Group, DST Global, Coatue Management",2008,0.502,Pre-IPO,8
Stream Base65,2.51,2018-12-24,Germany,Munich,Data management & analytics,"Tiger Global Management, New Enterprise Associates",2013,0.854,Series E,17
Tech Labs11,1.36,2018-12-21,United Kingdom,London,E-commerce & direct-to-consumer,"Greylock Partners, Khosla Ventures, DST Global",2013,0.248,Series C,11
Link Hub35,1.79,2018-12-19,United Kingdom,Cambridge,Other,"Y Combinator, Kleiner Perkins Caufield & Byers, Benchmark",2009,0.299,Pre-IPO,3
Cyber Base61,2.01,2018-12-11,China,Beijing,Internet software & services,"Alibaba Group, Khosla Ventures, Greylock Partners",2010,0.707,Series D,10
Smart Base49,1.38,2018-12-03,Sweden,Stockholm,Fintech,"Lightspeed Venture Partners, SoftBank Group",2013,0.163,Pre-IPO,5
PayMind84,3.55,2018-11-29,United States,Seattle,Internet software & services,"Kleiner Perkins Caufield & Byers, New Enterprise Associates, DST Global",2015,1.681,Series D,18
Tech Solutions,1.06,2018-11-27,United States,Seattle,E-commerce & direct-to-consumer,DST Global,2007,0.258,Series D,8
Cyber Technologies41,2.59,2018-11-27,United States,Seattle,Fintech,"Khosla Ventures, Alibaba Group, Tiger Global Management, Y Combinator",2015,0.893,Series D,16
DataZenith88,21.99,2018-11-26,Japan,Tokyo,Fintech,"Khosla Ventures, Accel, Kleiner Perkins Caufield & Byers, Tencent Holdings",2008,2.466,Series F,5
Streamify96,2.35,2018-11-25,China,Guangzhou,Internet software & services,"Google Ventures, Tiger Global Management, Greylock Partners, General Atlantic",2007,0.349,Series C,4
Pulseio33,1.61,2018-11-23,United States,Seattle,Internet software & services,"New Enterprise Associates, Bessemer Venture Partners, DST Global, Tiger Global Management",2010,0.249,Series D,19
Zenith AI10,2.77,2018-11-22,China,Beijing,E-commerce & direct-to-consumer,Sequoia Capital,2011,1.308,Series C,10
Forge Group31,1.08,2018-11-20,United States,Chicago,Artificial intelligence,"Google Ventures, Index Ventures",2014,0.249,Series D,16
MetaLink77,1.01,2018-11-19,United States,Chicago,Internet software & services,"Greylock Partners, New Enterprise Associates",2009,0.26,Pre-IPO,7
Health AI,1.14,2018-11-14,United States,Palo Alto,Internet software & services,"Tiger Global Management, Benchmark, Coatue Management, Andreessen Horowitz",2010,0.368,Series C,17
Pulse Dynamics,1.21,2018-11-13,United States,Chicago,Hardware,"Khosla Ventures, Thrive Capital, Greylock Partners, SoftBank Group",2013,0.505,Series E,16
CyberVertex60,1.35,2018-11-12,United States,Seattle,E-commerce & direct-to-consumer,"Insight Partners, Bessemer Venture Partners",2010,0.234,Series B,17
Shift Base25,5.2,2018-11-10,United States,Chicago,Auto & transportation,General Atlantic,2012,2.137,Series C,13
Grid Systems,2.67,2018-11-03,Sweden,Stockholm,Artificial intelligence,"Insight Partners, Greylock Partners, Y Combinator",2006,0.966,Series D,17
Space Base,1.96,2018-11-01,India,Mumbai,E-commerce & direct-to-consumer,Thrive Capital,2009,0.605,Series C,12
Fin Technologies85,2.55,2018-10-12,United Kingdom,Oxford,Fintech,"SoftBank Group, Thrive Capital, General Atlantic, Google Ventures",2006,0.408,Series D,6
AutoVertex55,2.91,2018-10-11,China,Guangzhou,E-commerce & direct-to-consumer,"Benchmark, New Enterprise Associates, General Atlantic, Index Ventures",2013,0.452,Series E,14
AutoSpace,1.49,2018-10-02,China,Shanghai,"Supply chain, logistics, & delivery","Coatue Management, Tiger Global Management, Benchmark",2010,0.204,Pre-IPO,9
SmartCore,1.4,2018-09-29,United Kingdom,Cambridge,Fintech,"Index Ventures, Coatue Management, Andreessen Horowitz",2014,0.505,Series B,10
Novaify92,149.03,2018-09-20,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Bessemer Venture Partners, Khosla Ventures, Y Combinator, Coatue Management",2009,60.603,Series E,16
Bioio24,1.18,2018-09-16,United States,Seattle,Other,"Thrive Capital, Accel, Andreessen Horowitz, Bessemer Venture Partners",2010,0.204,Pre-IPO,5
Pay Group63,1.87,2018-09-01,India,Mumbai,Hardware,"Accel, Google Ventures, Alibaba Group, Tencent Holdings",2008,0.725,Series E,15
Wavely19,2.68,2018-08-26,United Kingdom,Oxford,Health,"Andreessen Horowitz, DST Global",2011,0.71,Series D,12
SmartShift68,1.97,2018-08-25,Australia,Melbourne,Artificial intelligence,Thrive Capital,2014,0.467,Series E,10
Linkly16,1.1,2018-08-22,United States,Chicago,Internet software & services,Lightspeed Venture Partners,2011,0.516,Series C,9
Pay Technologies49,2.19,2018-08-20,United States,Chicago,Data management & analytics,General Atlantic,2008,0.461,Series E,15
Mind Solutions4,2.7,2018-08-15,United States,San Francisco,Other,Tencent Holdings,2011,0.672,Series E,8
Auto Labs,1.2,2018-08-09,Sweden,Stockholm,Health,"Tiger Global Management, Index Ventures, Andreessen Horowitz",2014,0.131,Series F,13
Meta Technologies50,2.82,2018-07-30,United States,Los Angeles,Internet software & services,"General Atlantic, Bessemer Venture Partners",2006,0.705,Series E,5
Tech Technologies,2.83,2018-07-27,France,Paris,Fintech,"New Enterprise Associates, General Atlantic, Benchmark, Tencent Holdings",2007,0.483,Series E,18
Fin Base21,1.78,2018-07-26,United States,Palo Alto,Internet software & services,"Alibaba Group, Tiger Global Management",2012,0.864,Series D,10
Dataly,2.59,2018-07-16,United States,New York,Data management & analytics,"General Atlantic, Greylock Partners",2009,0.726,Series B,14
Mind Solutions,4.08,2018-07-15,United States,Boston,Artificial intelligence,"Sequoia Capital, Tiger Global Management",2015,0.643,Series D,17
Smart AI,1.16,2018-07-13,France,Paris,Travel,"New Enterprise Associates, Tiger Global Management",2013,0.117,Private Equity,16
Nex Hub27,9.54,2018-06-25,China,Shanghai,Data management & analytics,Accel,2008,3.73,Series E,10
Mindly98,1.17,2018-06-24,France,Paris,Fintech,"Thrive Capital, Y Combinator, General Atlantic, Accel",2006,0.431,Series D,8
Healthify62,9.37,2018-06-20,Germany,Berlin,Fintech,Thrive Capital,2010,4.355,Series F,13
NexCore11,1.19,2018-06-20,China,Guangzhou,Internet software & services,Y Combinator,2013,0.344,Series F,11
Nex Base63,1.02,2018-06-16,United Kingdom,Oxford,Internet software & services,"Andreessen Horowitz, Khosla Ventures, Benchmark, Tencent Holdings",2012,0.131,Series D,7
Bio Group50,2.73,2018-06-15,United States,Austin,Artificial intelligence,"Andreessen Horowitz, Lightspeed Venture Partners, Insight Partners, Google Ventures",2013,0.994,Pre-IPO,5
Waveify,1.68,2018-06-06,United States,San Francisco,E-commerce & direct-to-consumer,"DST Global, Index Ventures, Tiger Global Management, Greylock Partners",2012,0.583,Series F,9
DataSpace,1.3,2018-06-05,India,Gurugram,Internet software & services,"Tiger Global Management, Andreessen Horowitz",2013,0.542,Series C,11
Pay Technologies14,1.71,2018-05-29,China,Hangzhou,Other,"Insight Partners, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, Greylock Partners",2014,0.692,Pre-IPO,14
SmartZenith57,1.81,2018-05-27,United States,Austin,Other,"Tiger Global Management, DST Global",2010,0.311,Series D,17
Data Solutions,8.07,2018-05-23,United States,Palo Alto,Hardware,"Tiger Global Management, Insight Partners",2010,3.442,Series D,2
Omni Systems1,2.42,2018-05-17,United States,Seattle,Fintech,"Bessemer Venture Partners, Tiger Global Management",2015,0.973,Series E,6
Block Group6,2.93,2018-05-16,France,Paris,Other,"Tiger Global Management, Alibaba Group",2013,0.895,Series C,3
Auto Dynamics,12.37,2018-05-13,Singapore,Singapore,Internet software & services,"Sequoia Capital, Founders Fund",2009,5.993,Series C,11
NexShift,1.03,2018-04-30,Israel,Tel Aviv,E-commerce & direct-to-consumer,"Andreessen Horowitz, Alibaba Group, DST Global, Coatue Management",2007,0.193,Pre-IPO,5
Vertexio,2.53,2018-04-30,India,Bengaluru,Other,"Bessemer Venture Partners, Greylock Partners",2009,0.661,Series C,17
Healthify66,3.79,2018-04-28,India,Gurugram,Data management & analytics,Index Ventures,2013,0.863,Series B,8
CloudMind42,2.88,2018-04-27,United States,New York,Health,Insight Partners,2012,1.154,Series E,8
Tech Networks66,1.65,2018-04-25,United Kingdom,Oxford,Hardware,"Bessemer Venture Partners, Insight Partners",2007,0.426,Series E,15
Wave Hub,2.32,2018-04-23,United States,Seattle,Hardware,Lightspeed Venture Partners,2014,0.585,Private Equity,15
DataCore26,2.18,2018-04-09,United Kingdom,Oxford,E-commerce & direct-to-consumer,"Index Ventures, Y Combinator, Sequoia Capital, Greylock Partners",2014,0.846,Series D,18
Grid Labs6,17.09,2018-04-08,India,Mumbai,E-commerce & direct-to-consumer,"Benchmark, General Atlantic, Sequoia Capital, Accel",2010,5.131,Series B,10
AutoForge36,2.83,2018-04-02,United States,San Francisco,E-commerce & direct-to-consumer,"SoftBank Group, Greylock Partners, Tencent Holdings, Y Combinator",2006,0.943,Pre-IPO,7
Bio Labs38,1.81,2018-03-30,United States,New York,Artificial intelligence,Index Ventures,2012,0.661,Series D,14
Zenithify65,1.11,2018-03-23,United States,Boston,Data management & analytics,"Andreessen Horowitz, DST Global",2013,0.487,Series D,9
Fin Technologies55,1.43,2018-03-15,United States,Boston,Health,"General Atlantic, Benchmark, Tencent Holdings",2015,0.494,Series C,10
CloudVertex,2.06,2018-03-11,China,Guangzhou,E-commerce & direct-to-consumer,"Benchmark, Bessemer Venture Partners, Kleiner Perkins Caufield & Byers",2009,0.89,Series C,17
NexStream,2.24,2018-03-09,India,Gurugram,Other,SoftBank Group,2008,0.402,Series E,7
SmartGrid25,1.14,2018-03-02,United Kingdom,London,Internet software & services,"Coatue Management, Google Ventures, SoftBank Group, Kleiner Perkins Caufield & Byers",2013,0.445,Series F,4
Pay Labs47,6.01,2018-02-27,United States,Chicago,Internet software & services,Greylock Partners,2008,0.682,Series D,14
Mind Dynamics82,1.62,2018-02-26,France,Paris,Artificial intelligence,"New Enterprise Associates, Lightspeed Venture Partners, Tiger Global Management, Benchmark",2011,0.399,Private Equity,12
Forge Base,2.19,2018-02-22,United States,Boston,"Supply chain, logistics, & delivery","Accel, Khosla Ventures",2006,0.928,Series C,7
Mindify46,7.96,2018-02-20,China,Beijing,Fintech,"Index Ventures, Andreessen Horowitz",2013,2.052,Private Equity,12
Cyber Dynamics66,3.19,2018-02-19,Australia,Sydney,Fintech,"Sequoia Capital, DST Global",2015,0.791,Series D,11
Wave Systems84,1.04,2018-02-19,United States,San Francisco,E-commerce & direct-to-consumer,"Tencent Holdings, Coatue Management, Accel, Bessemer Venture Partners",2015,0.197,Series F,13
Linkio45,1.87,2018-02-16,China,Beijing,Fintech,"Google Ventures, Kleiner Perkins Caufield & Byers",2012,0.293,Series F,9
Waveify36,20.65,2018-02-16,United States,Chicago,Hardware,Google Ventures,2012,4.83,Series C,1
Shiftify79,1.76,2018-02-14,China,Beijing,Artificial intelligence,Coatue Management,2008,0.524,Private Equity,16
Cyber Group69,6.89,2018-02-12,Brazil,Curitiba,Fintech,"Greylock Partners, Founders Fund",2012,1.821,Series C,6
Nexly,1.32,2018-02-02,United States,Austin,Internet software & services,Google Ventures,2009,0.447,Series C,15
Space Solutions72,1.13,2018-01-29,Brazil,Sao Paulo,Internet software & services,"SoftBank Group, New Enterprise Associates, Andreessen Horowitz, Lightspeed Venture Partners",2012,0.18,Series D,8
Nova Technologies,7.53,2018-01-26,United States,Palo Alto,Internet software & services,"Index Ventures, Benchmark",2013,3.715,Series C,4
Grid Networks2,2.79,2018-01-21,Germany,Berlin,E-commerce & direct-to-consumer,Thrive Capital,2006,0.967,Series C,11
NovaCore,1.82,2018-01-15,China,Beijing,Fintech,General Atlantic,2010,0.191,Series E,8
